1	1	1	100.00	2020-1-1 0:00:00
2	1	2	100.00	2020-1-1 0:00:00
3	1	3	30.00	2020-1-1 0:00:00
4	1	4	50.00	2020-1-1 0:00:00
5	2	6	30.00	2020-1-2 0:00:00
6	2	7	20.00	2020-1-2 0:00:00
7	2	8	20.00	2020-1-2 0:00:00
8	2	9	20.00	2020-1-2 0:00:00
9	3	12	70.00	2020-1-3 0:00:00
10	3	13	60.00	2020-1-3 0:00:00
11	1	1	100.00	2020-1-5 0:00:00
12	4	2	100.00	2020-1-5 0:00:00
13	4	3	30.00	2020-1-5 0:00:00
14	4	4	50.00	2020-1-5 0:00:00
15	4	6	30.00	2020-1-5 0:00:00
16	4	7	20.00	2020-1-5 0:00:00
17	4	8	20.00	2020-1-5 0:00:00
18	4	9	20.00	2020-1-5 0:00:00
19	4	12	70.00	2020-1-5 0:00:00
20	4	1	60.00	2020-1-5 0:00:00
21	5	10	70.00	2020-2-15 0:00:00
22	5	11	60.00	2020-2-15 0:00:00
23	4	8	20.00	2020-3-1 0:00:00
24	4	9	20.00	2020-3-1 0:00:00
25	4	12	70.00	2020-3-1 0:00:00
26	4	13	60.00	2020-3-1 0:00:00
27	4	10	70.00	2020-3-1 0:00:00
